Time	Quote	Title of book	Author
02:23	It was twenty-three minutes past two. She took a closer look, saw that the second hand was not moving. She had forgotten to wind up the wretched watch, or wretched her, wretched me, for not even this simple task had she remembered to carry out after only three days of isolation.	Blindness	Jose Saramago
02:24	It was 2.24am. She stumbled out of bed, tripping on her shoes that she'd kicked off earlier and pulled on a jumper.	After You'd Gone	Maggie O'Farrell
02:25	You see it is time: 2.25am. You get out of bed.	Nineteen Eighty Three	David Peace
02:26	Listened to a voicemail message left at 2.26am by Claude.	The Lighted Rooms	Richard Mason
02:27	The moon didn't shine again until 2.27am. It was enough to show Wallander that he was positioned some distance below the tree.	One Step Behind	Henning Mankell
02:28	2.28am: Ran out of sheep and began counting other farmyard animals.	Mr Commitment	Mike Gayle
02:29	I carry on with my little performance, running my hands blandly over the tops of my breasts. I glance furtively at my watch which is still on my wrist. It's twenty-nine minutes past two. Only half an hour to go.	Scandalous	Laura D
02:30	It is 2.30am and I am tight. As a tick, as a lord, as a newt. Must write this down before the sublime memories fade and blur.	Any Human Heart	William Boyd
02:31	And then I woke up because there were people shouting in the flat and it was 2.31am. And one of the people was Father and I was frightened.	The Curious Incident of the Dog in the Night-time	Mark Haddon
02:32	The last guests departed at 2.32 a.m., two hours and two minutes after the scheduled completion time.	The Rosie Project	Graeme Simsion
02:33	well, two-thirty-three, and nothing had happened. Suppose he got a room call, or the elevator night-bell rang, now. Suppose he stalled on it	A Swell-Looking Babe	Jim Thompson
02:34	The robbery , would have been going on, and  -  But it wasn't going on! It was two-thirty-four, well	A Swell-Looking Babe	Jim Thompson
02:35	For what happened at 2.35 we have the testimony of the priest, a young, intelligent, and well-educated person; of Patrolman William J. Monohan of the Central Station, an officer of the highest reliability who had paused at that part of his beat to inspect the crowd	The Haunter of the Dark	H. P. Lovecraft
02:36	It was about 2.36am when a provost colonel arrived to arrest me. At 2.36 1/2 I remembered the big insulating gauntlets. But even had I remembered before, what could I have done?	The Ipcress File	Len Deighton
02:37	June 13, 1990. Thirty-seven minutes past two in the morning. And sixteen seconds.	The Stand	Stephen King
02:38	It was true that the striking apparatus had long ago failed to agree with the hands; and the hands themselves, owing to the accumulated inaccuracies of years, no longer denoted the real time; nevertheless, whenever it struck seven he could always be sure that the hands were pointing to a quarter-past twelve, and it was then just twenty-two minutes to three.	Pharaoh's Broker	Ellsworth Douglass
02:39	Without realizing it, they both drew a deep breath of relief. It had been a guard check. And Kevin had passed his first test with flying colors. 'Okay,' Ted said briskly, perhaps a little too briskly. Despite himself, he knew he had been shaken. 'On to number two.' He looked at his watch. It was 0239 hours.	Code Name: Grand Guignol	Ib Melchior
02:40	The water leaden-white, even as the grey gleam of water is in latest twilight. Now while I have been writing this and gazing between-whiles (it is forty minutes past two), the break over the road is swallowed up, and the stars gone; the break over the house is narrowed into a rude circle, and on the edge of its circumference one very bright star. See!	Anima Poetae	Samuel Taylor Coleridge
02:41	His aides had wanted a long, flowery announcement filled with stirring phrases and fulsome praise for the various generals. Eisenhower had tossed their suggestions aside and written - ah! There it is: 'The mission of this Allied force was fulfilled at 02.41 local time, May 7, 1945.'	Moonwar	Ben Bova
02:42	This time it was a bird, a crow, wearing the goggles. Patterson had decrypted the telegram, and now read it quickly. GODDESS 4 reports that GENIUS left the salon at 02.42 ZULU	Night Heron	Adam Brookes
02:43	She settled back beside him. 'It's 2:43:12am, Case. Got a readout chipped into my optic nerve.'	Neuromancer	William Gibson
02:44	'... You got here at sixteen minutes to three.' Ronn looked at his watch. 	The Abominable Man	Maj Sjöwall
02:45	0245h., Ennet House, the hours that are truly wee.	Infinite Jest	David Foster Wallace
02:46	Vicki shoved her glasses at her face and peered at the clock. Two forty-six. 'I don't have time for this' she muttered, sttling back against the pillows, heart still slamming against her ribs.	Blood Lines	Tanya Huff
02:47	The glowing numbers read 2.47am. Moisés sighs and turns back to the bathroom door. Finally, the doorknob turns and Conchita comes back to bed. She resumes her place next to Moisés. Relieved, he pulls her close.	The Book of Want	Daniel A. Olivas
02:48	And you keep quiet, Betty. There may be trouble. He almost pushed her off his desk toward Max. A second later he had darkened the room by flicking the switch by the foyer door. Through the door, the clock showed twelve minutes to three.	Blind Allies	Baynard Kendrick
02:49	'No, no, don't do that,' said Frank. 'The coast-guards may be on the watch, and, if they see a light in the house, will be getting ready for us.' And, going to the clock, he opened it, and, feeling of the hands, said, 'It's about ten minutes to three.'	Frank, the Young Naturalist	Harry Castlemon
02:50	For they were Tom's first thoughts as he tumbled out of bed at the summons of Boots, and proceeded rapidly to wash and dress himself. At ten minutes to three he was down in the coffee-room in his stockings, carrying his hat-box, coat, and comforter in his hand, and there he found his father nursing a bright fire, and a cup of hot coffee and a hard biscuit on the table.	Tom Brown's School Days	Thomas Hughes
02:51	'I can't tell you much more. We escaped detection going over the lines, and about ten minutes to three, at a height of three thousand five hundred, old Jim tapped me on the shoulder. He understood exactly what to do—as far as we could tell him: for the parachute is still almost in its infancy.	Men, Women and Guns	H. C. McNeile
02:52	It was an impulse, born of aloneness. It was eight minutes to three in the morning, Sunday morning.	A Song in the Morning	Gerald Seymour
02:53	They reached the first roadblock on the outskirts of the town of Bulawayo, and Craig checked his wrist-watch. It was seven minutes to three in the morning.	The Leopard Hunts in Darkness	Wilbur Smith
02:54	'The times have changed and I can tell you when they did – 'The times changed at exactly six minutes to three last Friday morning.'	GB84	David Peace
02:55	Time to go: 2.55am. Two-handed, Cec lifted his peak cap from the chair.	Downriver	Iain Sinclair
02:56	It was 2:56 when the shovel touched the coffin. We all heard the sound and looked at each other.	Extremely Loud and Incredibly Close	Jonathan Safran Foer
02:57	It was 02:57 GMT. Yahaya slipped from his hiding place and cradled the syringe he had robbed from the ship's hospital in his right hand.	Life Probe	Michael McCollum
02:58	The clock hands hang at two minutes to three and she's liable to let them hang there till we rust.	One Flew Over the Cuckoo's Nest	Ken Kesey
02:59	I remembered arriving in this room at 2.59 one night. I remembered the sergeant who called me names: mostly Anglo-Saxon monosyllabic four-letter ones with an odd 'Commie' thrown in for syntax.	The Ipcress File	Len Deighton
03:00	At three am I was walking the floor and listening to Katchaturian working in a tractor factory. He called it a violin concerto. I called it a loose fan belt and the hell with it.	The Long Good-bye	Raymond Chandler
03:01	It was now about three o'clock in the morning and Francis Macomber, who had been asleep a little while after he had stopped thinking about the lion, wakened and then slept again	The Short Happy Life of Francis Macomber	Ernest Hemingway
03:02	He was thrifty, of Scotch-Irish descent, and at two minutes past three had never had an adventure in his life.	The Man Who Rocked the Earth	Arthur C. Train & Robert W. Wood
